COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
2240,Alaska,ALWAYS,FREQUENTLY,0.272
2240,Alaska,ALWAYS,ALWAYS,0.453
2261,Alaska,ALWAYS,NEVER,0.04
2261,Alaska,ALWAYS,RARELY,0.049
2261,Alaska,ALWAYS,SOMETIMES,0.052
2261,Alaska,ALWAYS,FREQUENTLY,0.197
2261,Alaska,ALWAYS,ALWAYS,0.663
2275,Alaska,ALWAYS,NEVER,0.035
2275,Alaska,ALWAYS,RARELY,0.119
2275,Alaska,ALWAYS,SOMETIMES,0.16
2275,Alaska,ALWAYS,FREQUENTLY,0.312
2275,Alaska,ALWAYS,ALWAYS,0.374
2282,Alaska,ALWAYS,NEVER,0.047
2282,Alaska,ALWAYS,RARELY,0.012
2282,Alaska,ALWAYS,SOMETIMES,0.078
2282,Alaska,ALWAYS,FREQUENTLY,0.381
2282,Alaska,ALWAYS,ALWAYS,0.481
2290,Alaska,FREQUENTLY,NEVER,0.044
2290,Alaska,FREQUENTLY,RARELY,0.047
2290,Alaska,FREQUENTLY,SOMETIMES,0.126
2290,Alaska,FREQUENTLY,FREQUENTLY,0.425
2290,Alaska,FREQUENTLY,ALWAYS,0.358
4001,Arizona,ALWAYS,NEVER,0.055
4001,Arizona,ALWAYS,RARELY,0.063
4001,Arizona,ALWAYS,SOMETIMES,0.031
4001,Arizona,ALWAYS,FREQUENTLY,0.15
4001,Arizona,ALWAYS,ALWAYS,0.701
4003,Arizona,ALWAYS,NEVER,0.053
4003,Arizona,ALWAYS,RARELY,0.025
4003,Arizona,ALWAYS,SOMETIMES,0.147
4003,Arizona,ALWAYS,FREQUENTLY,0.194
4003,Arizona,ALWAYS,ALWAYS,0.581
4005,Arizona,ALWAYS,NEVER,0.039
4005,Arizona,ALWAYS,RARELY,0.08
4005,Arizona,ALWAYS,SOMETIMES,0.07
4005,Arizona,ALWAYS,FREQUENTLY,0.11
4005,Arizona,ALWAYS,ALWAYS,0.702
4007,Arizona,ALWAYS,NEVER,0.073
4007,Arizona,ALWAYS,RARELY,0.014
4007,Arizona,ALWAYS,SOMETIMES,0.03
4007,Arizona,ALWAYS,FREQUENTLY,0.336
4007,Arizona,ALWAYS,ALWAYS,0.547
4009,Arizona,ALWAYS,NEVER,0.095
4009,Arizona,ALWAYS,RARELY,0.067
4009,Arizona,ALWAYS,SOMETIMES,0.237
4009,Arizona,ALWAYS,FREQUENTLY,0.049
4009,Arizona,ALWAYS,ALWAYS,0.553
4011,Arizona,ALWAYS,NEVER,0.111
4011,Arizona,ALWAYS,RARELY,0.089
4011,Arizona,ALWAYS,SOMETIMES,0.167
4011,Arizona,ALWAYS,FREQUENTLY,0.089
4011,Arizona,ALWAYS,ALWAYS,0.544
4012,Arizona,ALWAYS,NEVER,0.031
4012,Arizona,ALWAYS,RARELY,0.064
4012,Arizona,ALWAYS,SOMETIMES,0.162
4012,Arizona,ALWAYS,FREQUENTLY,0.173
4012,Arizona,ALWAYS,ALWAYS,0.57
4013,Arizona,ALWAYS,NEVER,0.023
4013,Arizona,ALWAYS,RARELY,0.025
4013,Arizona,ALWAYS,SOMETIMES,0.059
4013,Arizona,ALWAYS,FREQUENTLY,0.158
4013,Arizona,ALWAYS,ALWAYS,0.734
4015,Arizona,ALWAYS,NEVER,0.051
4015,Arizona,ALWAYS,RARELY,0.096
4015,Arizona,ALWAYS,SOMETIMES,0.104
4015,Arizona,ALWAYS,FREQUENTLY,0.164
4015,Arizona,ALWAYS,ALWAYS,0.585
4017,Arizona,ALWAYS,NEVER,0.091
4017,Arizona,ALWAYS,RARELY,0.108
4017,Arizona,ALWAYS,SOMETIMES,0.059
4017,Arizona,ALWAYS,FREQUENTLY,0.139
