COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
29139,Missouri,ALWAYS,NEVER,0.062
29139,Missouri,ALWAYS,RARELY,0.077
29139,Missouri,ALWAYS,SOMETIMES,0.161
29139,Missouri,ALWAYS,FREQUENTLY,0.307
29139,Missouri,ALWAYS,ALWAYS,0.392
29141,Missouri,ALWAYS,NEVER,0.211
29141,Missouri,ALWAYS,RARELY,0.118
29141,Missouri,ALWAYS,SOMETIMES,0.175
29141,Missouri,ALWAYS,FREQUENTLY,0.193
29141,Missouri,ALWAYS,ALWAYS,0.304
29143,Missouri,ALWAYS,NEVER,0.098
29143,Missouri,ALWAYS,RARELY,0.112
29143,Missouri,ALWAYS,SOMETIMES,0.149
29143,Missouri,ALWAYS,FREQUENTLY,0.18
29143,Missouri,ALWAYS,ALWAYS,0.461
29145,Missouri,ALWAYS,NEVER,0.156
29145,Missouri,ALWAYS,RARELY,0.121
29145,Missouri,ALWAYS,SOMETIMES,0.14
29145,Missouri,ALWAYS,FREQUENTLY,0.211
29145,Missouri,ALWAYS,ALWAYS,0.373
29147,Missouri,FREQUENTLY,NEVER,0.093
29147,Missouri,FREQUENTLY,RARELY,0.193
29147,Missouri,FREQUENTLY,SOMETIMES,0.16
29147,Missouri,FREQUENTLY,FREQUENTLY,0.283
29147,Missouri,FREQUENTLY,ALWAYS,0.272
29149,Missouri,SOMETIMES,NEVER,0.142
29149,Missouri,SOMETIMES,RARELY,0.196
29149,Missouri,SOMETIMES,SOMETIMES,0.293
29149,Missouri,SOMETIMES,FREQUENTLY,0.129
29149,Missouri,SOMETIMES,ALWAYS,0.241
29151,Missouri,ALWAYS,NEVER,0.067
29151,Missouri,ALWAYS,RARELY,0.133
29151,Missouri,ALWAYS,SOMETIMES,0.171
29151,Missouri,ALWAYS,FREQUENTLY,0.16
29151,Missouri,ALWAYS,ALWAYS,0.469
29153,Missouri,ALWAYS,NEVER,0.179
29153,Missouri,ALWAYS,RARELY,0.128
29153,Missouri,ALWAYS,SOMETIMES,0.128
29153,Missouri,ALWAYS,FREQUENTLY,0.13
29153,Missouri,ALWAYS,ALWAYS,0.435
29155,Missouri,ALWAYS,NEVER,0.079
29155,Missouri,ALWAYS,RARELY,0.134
29155,Missouri,ALWAYS,SOMETIMES,0.175
29155,Missouri,ALWAYS,FREQUENTLY,0.204
